DATE OCC,TIME OCC,AREA NAME,Part 1-2,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status
1/8/2020 0:00,2230,Southwest,2,624,BATTERY - SIMPLE ASSAULT,36,F,B,501,SINGLE FAMILY DWELLING,AO
1/1/2020 0:00,330,Central,2,624,BATTERY - SIMPLE ASSAULT,25,M,H,102,SIDEWALK,IC
2/13/2020 0:00,1200,Central,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,X,X,726,POLICE FACILITY,AA
1/1/2020 0:00,1730,N Hollywood,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC
1/1/2020 0:00,415,Mission,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,X,409,BEAUTY SUPPLY STORE,IC
1/1/2020 0:00,30,Central,1,121,"RAPE, FORCIBLE",25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),IC
1/2/2020 0:00,1315,Central,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,404,DEPARTMENT STORE,IC
1/4/2020 0:00,40,Central,2,946,OTHER MISCELLANEOUS CRIME,0,X,X,726,POLICE FACILITY,IC
1/4/2020 0:00,200,Central,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC
5/26/2020 0:00,1925,Devonshire,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,203,OTHER BUSINESS,AO
1/4/2020 0:00,2200,Central,1,330,BURGLARY FROM VEHICLE,29,M,A,101,STREET,IC
1/5/2020 0:00,955,Central,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,O,108,PARKING LOT,IC
1/5/2020 0:00,1355,Central,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,A,503,HOTEL,AA
1/7/2020 0:00,1638,Central,1,648,ARSON,0,X,X,404,DEPARTMENT STORE,IC
1/8/2020 0:00,1805,Central,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,H,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",IC
11/30/2020 0:00,730,Mission,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,H,501,SINGLE FAMILY DWELLING,IC
11/28/2020 0:00,2018,Northeast,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,501,SINGLE FAMILY DWELLING,AO
2/22/2020 0:00,1900,Harbor,1,440,THEFT PLAIN - PETTY ($950 & UNDER),29,F,W,102,SIDEWALK,IC
11/19/2020 0:00,1200,Van Nuys,2,354,THEFT OF IDENTITY,46,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC
1/14/2020 0:00,1330,Central,1,210,ROBBERY,66,M,B,103,ALLEY,IC
9/9/2020 0:00,1735,Van Nuys,2,354,THEFT OF IDENTITY,40,M,O,507,CONDOMINIUM/TOWNHOUSE,IC
1/14/2020 0:00,1730,Central,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,H,404,DEPARTMENT STORE,IC
1/15/2020 0:00,1445,Central,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,M,B,404,DEPARTMENT STORE,IC
12/28/2020 0:00,1,West Valley,2,354,THEFT OF IDENTITY,46,F,W,501,SINGLE FAMILY DWELLING,IC
1/15/2020 0:00,700,Central,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO
11/1/2020 0:00,1200,West Valley,2,354,THEFT OF IDENTITY,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC
2/15/2020 0:00,1830,Northeast,1,330,BURGLARY FROM VEHICLE,43,M,A,108,PARKING LOT,IC
1/19/2020 0:00,2000,Central,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",71,M,W,148,PUBLIC RESTROOM/OUTSIDE*,AA
10/15/2020 0:00,2000,West LA,2,624,BATTERY - SIMPLE ASSAULT,50,F,W,501,SINGLE FAMILY DWELLING,AO
1/20/2020 0:00,400,Central,1,121,"RAPE, FORCIBLE",19,F,B,503,HOTEL,IC
1/23/2020 0:00,600,Central,1,310,BURGLARY,51,M,W,503,HOTEL,AO
4/28/2020 0:00,100,West LA,2,354,THEFT OF IDENTITY,27,M,W,501,SINGLE FAMILY DWELLING,IC
7/29/2020 0:00,2020,Northeast,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO
9/3/2020 0:00,2000,Central,1,510,VEHICLE - STOLEN,0,,,707,GARAGE/CARPORT,IC
1/27/2020 0:00,1500,Central,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,801,MTA BUS,IC
11/1/2020 0:00,1200,West Valley,2,354,THEFT OF IDENTITY,39,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC
12/3/2020 0:00,811,Wilshire,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,O,203,OTHER BUSINESS,IC
8/27/2020 0:00,1255,Van Nuys,2,624,BATTERY - SIMPLE ASSAULT,57,F,H,102,SIDEWALK,IC
1/28/2020 0:00,2100,Central,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,101,STREET,IC
